Limbs,sub_ID,Count
"('LL', 'LW', 'RL', 'RW', 'T')",127,139
"('LL', 'LW', 'RL', 'RW', 'T')",815,102
"('LL', 'LW', 'RL', 'RW', 'T')",633,69
"('X',)",127,47
"('LL', 'LW', 'RL', 'RW', 'T')",965,46
"('LL', 'LW', 'RL', 'RW', 'T')",958,44
"('LL', 'LW', 'RL', 'RW', 'T')",914,43
"('LL', 'LW', 'RL', 'RW', 'T')",098,37
"('LL', 'LW', 'RL', 'RW', 'T')",158,31
"('LL', 'LW', 'RL', 'RW', 'T')",906,30
"('X',)",815,27
"('X',)",914,27
"('LL', 'LW', 'RL', 'RW', 'T')",971,26
"('LL', 'LW', 'RL', 'RW', 'T')",547,22
"('LW',)",914,21
"('X',)",958,17
"('X',)",633,17
"('X',)",965,16
"('RW',)",127,14
"('LW',)",127,13
"('X',)",547,12
"('X',)",158,12
"('LL', 'RL', 'T')",815,12
"('X',)",906,10
"('LW',)",815,9
"('RW',)",965,9
"('RL',)",127,8
"('LL', 'LW', 'RL', 'RW', 'T')",279,8
"('LL', 'RL', 'T')",127,8
"('LL',)",965,7
"('LW',)",958,6
"('RW',)",914,5
"('RW',)",815,5
"('LW',)",971,5
"('LW',)",965,5
"('X',)",971,5
"('LL', 'RL', 'T')",633,5
"('X',)",098,4
"('RW',)",958,4
"('LW',)",098,4
"('LL',)",127,3
"('RW',)",547,3
"('LL',)",815,3
"('LW',)",633,3
"('RW',)",158,3
"('LL',)",906,2
"('LL',)",914,2
"('LL', 'RL', 'T')",547,2
"('LL', 'RL', 'T')",914,2
"('LW',)",158,2
"('LL',)",098,2
"('RL',)",815,2
"('LW',)",547,2
"('RL',)",914,2
"('RL',)",547,2
"('X',)",279,1
"('RL',)",098,1
"('RL',)",158,1
"('LL',)",958,1
"('LL', 'RL', 'T')",098,1
"('LL', 'RL', 'T')",279,1
"('RW',)",633,1
"('LW',)",279,1
"('RL',)",906,1
"('RW',)",971,1
"('LL', 'RL', 'T')",971,1
"('RL',)",958,1
"('RL',)",965,1
"('RW',)",098,1
"('RW',)",906,1
