Limbs,sub_ID,Count
"('LL', 'LW', 'RL', 'RW', 'T')",815,80
"('X',)",098,73
"('X',)",965,54
"('X',)",906,52
"('X',)",971,48
"('X',)",127,48
"('LL', 'LW', 'RL', 'RW', 'T')",633,46
"('LL', 'LW', 'RL', 'RW', 'T')",906,44
"('LL', 'LW', 'RL', 'RW', 'T')",127,43
"('X',)",914,41
"('X',)",279,41
"('X',)",958,39
"('X',)",815,38
"('RW',)",958,34
"('X',)",547,34
"('LW',)",965,33
"('LL', 'LW', 'RL', 'RW', 'T')",158,31
"('LL', 'LW', 'RL', 'RW', 'T')",971,29
"('LL', 'LW', 'RL', 'RW', 'T')",958,28
"('RL',)",127,28
"('RL',)",547,25
"('RW',)",965,25
"('LW',)",098,25
"('LL', 'LW', 'RL', 'RW', 'T')",914,25
"('LL', 'LW', 'RL', 'RW', 'T')",547,24
"('RL',)",965,24
"('X',)",633,24
"('LW',)",547,22
"('LL', 'RL', 'T')",633,20
"('LL', 'LW', 'RL', 'RW', 'T')",098,20
"('LL',)",965,20
"('LL', 'RL', 'T')",098,19
"('RW',)",127,19
"('LL',)",127,19
"('X',)",158,18
"('LW',)",971,18
"('LL', 'LW', 'RL', 'RW', 'T')",279,17
"('RL',)",815,16
"('LW',)",815,16
"('LL',)",815,16
"('LL',)",158,16
"('RW',)",547,15
"('LL', 'LW', 'RL', 'RW', 'T')",965,15
"('LL',)",098,14
"('LL', 'RL', 'T')",965,14
"('LL',)",547,14
"('RW',)",098,14
"('LW',)",958,13
"('LL',)",971,13
"('LL', 'RL', 'T')",914,13
"('LL',)",906,12
"('RW',)",906,12
"('RL',)",914,12
"('LW',)",127,11
"('RL',)",971,11
"('LW',)",906,11
"('LL', 'RL', 'T')",815,10
"('RW',)",158,10
"('RL',)",279,10
"('LW',)",158,10
"('RL',)",098,10
"('RL',)",158,8
"('LW',)",914,7
"('RL',)",906,7
"('RW',)",633,7
"('LL', 'RL', 'T')",971,7
"('LL', 'RL', 'T')",279,7
"('RW',)",971,7
"('LL', 'RL', 'T')",127,7
"('LL', 'RL', 'T')",158,6
"('LL',)",914,6
"('RL',)",958,6
"('LL',)",958,5
"('RW',)",815,4
"('RW',)",914,4
"('LW',)",279,3
"('LL', 'RL', 'T')",958,2
"('LL', 'RL', 'T')",906,2
"('LL', 'RL', 'T')",547,1
"('LL',)",633,1
"('RW',)",279,1
"('LW',)",633,1
